Treadmil_v,Period,X,Y
0.8,16,7.793257117271423,-21.431782841682434
0.8,16,8.256569862365723,-23.165637254714966
0.8,16,8.772935628890991,-25.818288326263428
0.8,16,9.208182573318481,-21.76234722137451
0.8,16,9.476797819137573,-13.43076229095459
0.8,16,9.61794638633728,-7.057428359985352
0.8,16,9.715482950210571,-4.876828193664551
0.8,16,9.661295890808105,2.709352970123291
0.8,16,8.995480298995972,33.29077959060669
0.8,16,7.683605313301086,65.59374928474426
0.8,16,6.031811594963074,82.58968591690063
0.8,16,3.8493960201740265,109.12077873945236
0.8,16,1.1995679140090942,132.4914053082466
0.8,16,-1.1307201385498047,116.51440262794495
0.8,16,-2.7357001304626465,80.24899959564209
0.8,16,-3.724639892578125,49.446988105773926
0.8,16,-4.720188617706299,49.77743625640869
0.8,16,-5.798140525817871,53.89759540557861
0.8,16,-6.707949638366699,45.490455627441406
0.8,16,-7.5048017501831055,39.84260559082031
0.8,16,-8.217050552368164,35.61244010925293
0.8,16,-8.796028137207031,28.94887924194336
0.8,16,-9.177533149719238,19.07525062561035
0.8,16,-9.498392105102539,16.04294776916504
0.8,16,-9.871749877929688,18.667888641357422
0.8,16,-10.066099166870117,9.717464447021484
0.8,16,-10.033944129943848,-1.6077518463134766
0.8,16,-9.753890991210938,-14.002656936645508
0.8,16,-9.207581520080566,-27.315473556518555
0.8,16,-8.195652961730957,-50.59642791748047
0.8,16,-6.788466453552246,-70.35932540893555
0.8,16,-5.435132026672363,-67.66672134399414
0.8,16,-4.175811767578125,-62.966012954711914
0.8,17,-3.850004196166992,12.014579772949219
0.8,17,-3.3586130142211914,-24.56955909729004
0.8,17,-2.8224802017211914,-26.806640625
0.8,17,-2.2578372955322266,-28.232145309448242
0.8,17,-1.390864372253418,-43.34864616394043
0.8,17,-1.176025390625,-10.741949081420898
0.8,17,-1.2383432388305664,3.1158924102783203
0.8,17,-2.038095474243164,39.98761177062988
0.8,17,-2.0491275787353516,0.551605224609375
0.8,17,-0.2724161148071289,-88.83557319641113
0.8,17,0.9180965423583984,-59.52563285827637
0.8,17,0.9723978042602539,-2.7150630950927734
0.8,17,1.3843793869018555,-20.599079132080078
0.8,17,1.8160104751586914,-21.581554412841797
0.8,17,2.365729808807373,-27.485966682434082
0.8,17,3.097527027130127,-36.589860916137695
0.8,17,3.6463122367858887,-27.439260482788086
0.8,17,4.041692733764648,-19.76902484893799
0.8,17,4.512768745422363,-23.553800582885742
0.8,17,5.0086987018585205,-24.79649782180786
0.8,17,5.487478256225586,-23.93897771835327
0.8,17,5.929235458374023,-22.087860107421875
0.8,17,6.386036038398743,-22.840029001235962
0.8,17,6.89777135848999,-25.586766004562378
0.8,17,7.355282008647919,-22.875532507896423
0.8,17,7.728042751550674,-18.638037145137787
0.8,17,8.12191891670227,-19.693808257579803
0.8,17,8.555044889450073,-21.656298637390137
0.8,17,9.032660841941833,-23.880797624588013
0.8,17,9.522462368011475,-24.490076303482056
0.8,17,9.872801065444946,-17.516934871673584
0.8,17,10.279881954193115,-20.354044437408447
0.8,17,10.7832612991333,-25.168967247009277
0.8,17,11.083343029022217,-15.0040864944458
0.8,17,11.154141187667847,-3.539907932281494
0.8,17,10.869216442108154,14.24623727798462
0.8,17,10.146743059158325,36.123669147491455
0.8,17,8.999423265457153,57.365989685058594
0.8,17,7.4822163581848145,75.86034536361694
0.8,17,5.717930912971497,88.2142722606659
0.8,17,3.4648479223251343,112.65414953231812
0.8,17,1.1845278143882751,114.01600539684296
0.8,17,-0.7125238180160522,94.85258162021637
0.8,17,-2.2696914672851562,77.8583824634552
0.8,17,-3.5655393600463867,64.79239463806152
0.8,17,-4.76885986328125,60.166025161743164
0.8,17,-5.831472873687744,53.13065052032471
0.8,17,-6.700018882751465,43.427300453186035
0.8,17,-7.371980667114258,33.59808921813965
0.8,17,-8.017291069030762,32.265520095825195
0.8,17,-8.628039360046387,30.53741455078125
0.8,17,-9.221733093261719,29.6846866607666
0.8,17,-9.82895278930664,30.360984802246094
0.8,17,-10.434850692749023,30.29489517211914
