Treadmil_v,Period,X,Y
0.5,3,10.829777717590332,-28.079986572265625
0.5,3,11.469923496246338,-32.00728893280029
0.5,3,12.047434568405151,-28.875553607940674
0.5,3,12.567996263504028,-26.028084754943848
0.5,3,13.214263439178467,-32.313358783721924
0.5,3,13.909683465957642,-34.77100133895874
0.5,3,14.54500675201416,-31.766164302825928
0.5,3,15.010301113128662,-23.264718055725098
0.5,3,15.268721342086792,-12.921011447906494
0.5,3,15.464207649230957,-9.774315357208252
0.5,3,15.589867353439331,-6.282985210418701
0.5,3,15.556918859481812,1.6474246978759766
0.5,3,15.334163427352905,11.137771606445312
0.5,3,14.936602115631104,19.878065586090088
0.5,3,14.390683650970459,27.295923233032227
0.5,3,13.641582727432251,37.4550461769104
0.5,3,12.611308336257935,51.51371955871582
0.5,3,11.313618659973145,64.8844838142395
0.5,3,9.588876485824585,86.23710870742798
0.5,3,7.830690145492554,87.90931701660156
0.5,3,5.836624264717102,99.70329403877258
0.5,3,3.514102339744568,116.12609624862671
0.5,3,1.132137656211853,119.09823417663574
0.5,3,-1.15533447265625,114.37360644340515
0.5,3,-3.458079695701599,115.13726115226746
0.5,3,-5.663957476615906,110.29388904571533
0.5,3,-7.6054017543792725,97.07221388816833
0.5,3,-9.309950709342957,85.2274477481842
0.5,3,-10.855428695678711,77.27389931678772
0.5,3,-12.267758846282959,70.6165075302124
0.5,3,-13.526191234588623,62.9216194152832
0.5,3,-14.582529783248901,52.816927433013916
0.5,3,-15.367708921432495,39.25895690917969
0.5,3,-15.85005497932434,24.117302894592285
0.5,3,-16.01248288154602,8.121395111083984
0.5,3,-15.96118450164795,-2.5649189949035645
0.5,3,-15.758547067642212,-10.131871700286865
0.5,3,-15.422784090042114,-16.788148880004883
0.5,3,-14.864070415496826,-27.935683727264404
0.5,3,-14.057939291000366,-40.306556224823
0.5,4,-12.892728567123413,-21.6275691986084
0.5,4,-12.387969970703125,-25.237929821014404
0.5,4,-11.898935079574585,-24.451744556427002
0.5,4,-11.649708271026611,-12.461340427398682
0.5,4,-11.197316408157349,-22.619593143463135
0.5,4,-10.105672836303711,-54.582178592681885
0.5,4,-8.433485269546509,-83.60937833786011
0.5,4,-7.241580009460449,-59.59526300430298
0.5,4,-7.41264009475708,8.553004264831543
0.5,4,-7.647737741470337,11.754882335662842
0.5,4,-6.563153505325317,-54.22921180725098
0.5,4,-4.354094743728638,-110.45293807983398
0.5,4,-2.7207603454589844,-81.66671991348267
0.5,4,-2.50216007232666,-10.930013656616211
0.5,4,-2.2482714653015137,-12.694430351257324
0.5,4,-1.2775006294250488,-48.53854179382324
0.5,4,-0.19929981231689453,-53.910040855407715
0.5,4,0.5527386665344238,-37.60192394256592
0.5,4,1.229504108428955,-33.83827209472656
0.5,4,2.0068039894104004,-38.864994049072266
0.5,4,2.48785400390625,-24.05250072479248
0.5,4,2.989734172821045,-25.094008445739746
0.5,4,3.666443347930908,-33.835458755493164
0.5,4,4.323488712310791,-32.85226821899414
0.5,4,4.93740177154541,-30.695652961730957
0.5,4,5.492330074310303,-27.74641513824463
0.5,4,6.040911674499512,-27.42908000946045
0.5,4,6.643128395080566,-30.110836029052734
0.5,4,7.260196685791016,-30.85341453552246
0.5,4,7.956887722015381,-34.83455181121826
0.5,4,8.722138404846191,-38.26253414154053
0.5,4,9.386843204498291,-33.23523998260498
0.5,4,10.002249240875244,-30.770301818847656
0.5,4,10.658748626708984,-32.82496929168701
0.5,4,11.36063289642334,-35.09421348571777
0.5,4,12.104430198669434,-37.18986511230469
0.5,4,12.815945863723755,-35.575783252716064
0.5,4,13.409257650375366,-29.665589332580566
0.5,4,13.966657876968384,-27.87001132965088
0.5,4,14.498628377914429,-26.598525047302246
0.5,4,14.91338324546814,-20.737743377685547
0.5,4,15.069597244262695,-7.810699939727783
0.5,4,15.084338426589966,-0.7370591163635254
0.5,4,15.081421852111816,0.1458287239074707
0.5,4,15.03944993019104,2.0985960960388184
0.5,4,15.00388765335083,1.778113842010498
0.5,4,14.732964992523193,13.546133041381836
0.5,4,14.106452465057373,31.325626373291016
0.5,4,13.153565883636475,47.64432907104492
0.5,4,11.876342535018921,63.861167430877686
0.5,4,9.988775253295898,94.37836408615112
0.5,4,8.090502500534058,94.91363763809204
0.5,4,6.0735390186309814,100.84817409515381
0.5,4,3.4762847423553467,129.86271381378174
0.5,4,0.943476676940918,126.64040327072144
0.5,4,-1.507133960723877,122.53053188323975
0.5,4,-4.173693895339966,133.32799673080444
0.5,4,-6.772526502609253,129.94163036346436
0.5,4,-9.002798080444336,111.51357889175415
0.5,4,-10.799672603607178,89.84372615814209
0.5,4,-12.399298906326294,79.98131513595581
0.5,4,-13.77573037147522,68.82157325744629
0.5,4,-14.822990894317627,52.36302614212036
0.5,4,-15.550610065460205,36.380958557128906
0.5,4,-16.01304268836975,23.121631145477295
0.5,4,-16.301809072494507,14.438319206237793
0.5,4,-16.560945749282837,12.956833839416504
0.5,4,-16.804965257644653,12.20097541809082
0.5,4,-16.88052201271057,3.7778377532958984
0.5,4,-16.546995162963867,-16.676342487335205
0.5,4,-15.927263736724854,-30.986571311950684
0.5,4,-15.186469554901123,-37.03970909118652
0.5,5,-13.85969090461731,-30.191004276275635
0.5,5,-13.503043174743652,-17.83238649368286
0.5,5,-13.308457851409912,-9.729266166687012
0.5,5,-13.021148920059204,-14.3654465675354
0.5,5,-12.27490758895874,-37.31206655502319
0.5,5,-11.448384761810303,-41.326141357421875
0.5,5,-11.829702377319336,19.06588077545166
0.5,5,-12.445935249328613,30.811643600463867
0.5,5,-12.064752578735352,-19.059133529663086
0.5,5,-10.921310901641846,-57.17208385467529
0.5,5,-9.92442798614502,-49.84414577484131
0.5,5,-9.058306217193604,-43.3060884475708
0.5,5,-7.611960411071777,-72.31729030609131
0.5,5,-5.995436191558838,-80.82621097564697
0.5,5,-4.433220863342285,-78.11076641082764
0.5,5,-2.804239273071289,-81.4490795135498
0.5,5,-1.1043109893798828,-84.99641418457031
0.5,5,0.4801020622253418,-79.22065258026123
0.5,5,1.7590570449829102,-63.94774913787842
0.5,5,2.9062952995300293,-57.36191272735596
0.5,5,3.9825658798217773,-53.8135290145874
0.5,5,4.844573497772217,-43.10038089752197
